title,category,tags,notes,archetype_id,tier,lowes_url,image_url,unit_type,pack_size,coverage,estimated_unit_cost,category_hint,keyword_hints,lowes_category_hint,confidence,source,last_reviewed_at
Project Source 15-Amp White Duplex Outlet,,"outlet,receptacle,duplex outlet,wall outlet,15 amp,project source,budget","Budget-grade replacement outlet. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",duplex_outlet_standard_white,budget,https://www.lowes.com/search?searchTerm=project+source+15-amp+white+duplex+outlet,,each,1,,0.78,Electrical & Lighting > Switches & Outlets,"outlet,duplex,receptacle,15 amp,white outlet",Electrical > Outlets,medium,manual_lowes,2026-04-01
Legrand Radiant 15-Amp White Duplex Outlet,,"outlet,receptacle,duplex outlet,wall outlet,15 amp,legrand,standard","Common turn replacement outlet. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",duplex_outlet_standard_white,standard,https://www.lowes.com/search?searchTerm=legrand+radiant+15-amp+white+duplex+outlet,,each,1,,2.49,Electrical & Lighting > Switches & Outlets,"outlet,duplex,receptacle,wall outlet,legrand",Electrical > Outlets,high,manual_lowes,2026-04-01
Leviton Decora Plus 15-Amp Tamper-Resistant White Duplex Outlet,,"outlet,receptacle,duplex outlet,wall outlet,15 amp,leviton,premium,tamper resistant","Premium durability and finish outlet option. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",duplex_outlet_standard_white,premium,https://www.lowes.com/search?searchTerm=leviton+decora+plus+15-amp+white+duplex+outlet,,each,1,,4.98,Electrical & Lighting > Switches & Outlets,"outlet,duplex,receptacle,decorator outlet,leviton",Electrical > Outlets,high,manual_lowes,2026-04-01
Project Source 1-in Cordless White Vinyl Mini Blind 35-in x 64-in,,"blind,window blind,cordless blind,35x64,faux wood blind,project source,budget,vinyl blind","Entry budget blind for basic turn replacements. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",blind_white_35x64_standard,budget,https://www.lowes.com/search?searchTerm=project+source+cordless+white+mini+blind+35x64,,each,1,35 in x 64 in,18.98,Windows & Coverings > Blinds & Shades,"blind,window blind,cordless blind,35x64,vinyl blind",Windows & Coverings > Blinds,medium,manual_lowes,2026-04-01
LEVOLOR Trim+Go 2-in White Faux Wood Cordless Blind 35-in x 64-in,,"blind,window blind,cordless blind,35x64,faux wood blind,levolor,standard","Standard cordless faux-wood blind for main turns. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",blind_white_35x64_standard,standard,https://www.lowes.com/search?searchTerm=levolor+trim+go+2-in+white+faux+wood+cordless+blind+35x64,,each,1,35 in x 64 in,34.98,Windows & Coverings > Blinds & Shades,"blind,window blind,cordless blind,35x64,faux wood blind",Windows & Coverings > Blinds,high,manual_lowes,2026-04-01
Bali 2-in White Faux Wood Cordless Blind 35-in x 64-in,,"blind,window blind,cordless blind,35x64,faux wood blind,bali,premium","Premium cordless blind with stronger material finish. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",blind_white_35x64_standard,premium,https://www.lowes.com/search?searchTerm=bali+2-in+white+faux+wood+cordless+blind+35x64,,each,1,35 in x 64 in,52.00,Windows & Coverings > Blinds & Shades,"blind,window blind,cordless blind,35x64,bali blind",Windows & Coverings > Blinds,high,manual_lowes,2026-04-01
Rayovac High Energy 9-Volt Alkaline Batteries 2-Pack,,"smoke detector battery,alarm battery,9v battery,aa battery,detector battery,rayovac,budget,battery pack","Budget detector battery pack for quick turnover swaps. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",smoke_detector_standard_battery,budget,https://www.lowes.com/search?searchTerm=rayovac+9-volt+batteries+2-pack,,pack,2,2 detectors,4.98,Electrical & Lighting > Bulbs & Drivers,"smoke detector battery,alarm battery,9v battery,detector battery",Electrical > Batteries,medium,manual_lowes,2026-04-01
Duracell Coppertop 9-Volt Alkaline Batteries 2-Pack,,"smoke detector battery,alarm battery,9v battery,aa battery,detector battery,duracell,standard,battery pack","Standard detector battery replacement pack. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",smoke_detector_standard_battery,standard,https://www.lowes.com/search?searchTerm=duracell+9-volt+batteries+2-pack,,pack,2,2 detectors,7.48,Electrical & Lighting > Bulbs & Drivers,"smoke detector battery,alarm battery,9v battery,duracell",Electrical > Batteries,high,manual_lowes,2026-04-01
Energizer MAX 9-Volt Batteries 4-Pack,,"smoke detector battery,alarm battery,9v battery,aa battery,detector battery,energizer,premium,battery pack","Premium longer-life detector battery pack. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",smoke_detector_standard_battery,premium,https://www.lowes.com/search?searchTerm=energizer+max+9-volt+batteries+4-pack,,pack,4,4 detectors,14.98,Electrical & Lighting > Bulbs & Drivers,"smoke detector battery,alarm battery,9v battery,energizer",Electrical > Batteries,high,manual_lowes,2026-04-01
Project Source Interior Eggshell Paint Neutral White 1-Gallon,,"interior paint,wall paint,touch up paint,eggshell paint,neutral paint,project source,budget","Budget touch-up paint for fast neutral turns. Manual Lowe's sourcing sample. Verify live SKU, price, and option details during review.",interior_wall_paint_touchup_neutral,budget,https://www.lowes.com/search?searchTerm=project+source+interior+eggshell+paint+neutral+white+1-gallon,,gallon,1,350 sq ft,19.98,Interior Finishes > Paint & Primers,"interior paint,wall paint,touch up paint,eggshell paint,neutral paint",Paint > Interior Paint,medium,manual_lowes,2026-04-01
